# The final column indicates the type of data (RV/K18 are radial velocity dispersions - W15/GDR2 are proper motion dispersions). The proper motions from Watkins et al. and our Gaia proper motions were converted to km/sec using the cluster distances given in Baumgardt, Sollima, Hilker & Bellini (2019). If you use these profiles for your research, please give reference to these papers.

Cluster <r> NStar   σ   ΔσUp    ΔσLow   Type
Name    ['']  [km/sec]  [km/sec]    [km/sec]

NGC 5286      100.71  6.71  0.50  0.45   RV
NGC 5286      173.85  4.64  0.68  0.63  GDR2
NGC 5286      296.51  2.59  1.04  1.05  GDR2
NGC 5466      104.47  1.38  0.22  0.18   RV
NGC 5466      413.26  1.03  0.17  0.14   RV
NGC 5634       43.50  3.58  0.63  0.50   RV
NGC 5634      112.75  3.56  0.60  0.48   RV
NGC 5694        9.61  7.04  0.97  0.79   RV
NGC 5694       42.29  4.58  0.64  0.53   RV
NGC 5694      101.00  3.46  0.48  0.40   RV
NGC 5694      226.85  2.52  0.43  0.34   RV
NGC 5824        0.52 13.32  1.76  1.76  K18
NGC 5824        1.82 11.18  0.85  0.85  K18
NGC 5824        3.63 11.22  0.70  0.70  K18
NGC 5824        7.59 10.86  0.55  0.55  K18
NGC 5824       25.12  8.31  0.62  0.62  K18
NGC 5824       45.16  7.98  1.01  0.84   RV
NGC 5824       85.27  4.56  0.64  0.53   RV
NGC 5824      142.78  4.66  2.79  4.66  GDR2
NGC 5824      150.94  4.52  0.64  0.53   RV
NGC 5824      237.92  4.02  0.56  0.47   RV
NGC 5824      419.53  3.23  0.83  0.59   RV
NGC 5897       87.57  3.35  0.38  0.32   RV
NGC 5897      142.54  2.90  0.59  0.59  GDR2
NGC 5897      168.55  2.67  0.30  0.26   RV
NGC 5897      271.47  2.10  0.25  0.22   RV
NGC 5897      442.85  1.50  0.63  0.43   RV
NGC 5904        2.68  7.16  0.70  0.70  W15
NGC 5904        3.40  7.33  0.81  0.70  K18
NGC 5904        5.05  8.80  0.70  0.70  W15
NGC 5904        6.10  8.25  0.77  0.70  K18
NGC 5904        7.26  7.65  0.63  0.63  W15
NGC 5904        9.12  8.01  0.70  0.70  W15
NGC 5904        9.90  7.91  0.49  0.46  K18
NGC 5904       11.75  7.10  0.39  0.39  W15
NGC 5904       15.26  6.78  0.33  0.33  W15
NGC 5904       15.60  8.02  0.35  0.32  K18
NGC 5904       18.63  7.06  0.38  0.38  W15
NGC 5904       21.35  7.95  0.39  0.39  W15
NGC 5904       23.90  7.75  0.44  0.44  W15
